news_headline,news_article,news_category,full_text,clean_text
Instagram testing ₹89 monthly subscriptions for exclusive content,"Instagram is testing a new subscription feature that will give users access to exclusive content from creators for a monthly fee of ₹89. The 'Instagram Subscriptions' feature, visible under Instagram's App Store listing, was first reported by TechCrunch. Users can also buy Instagram Badges that will be displayed alongside their username when they message creators or comment on their posts.",technology,"Instagram testing ₹89 monthly subscriptions for exclusive content. Instagram is testing a new subscription feature that will give users access to exclusive content from creators for a monthly fee of ₹89. The 'Instagram Subscriptions' feature, visible under Instagram's App Store listing, was first reported by TechCrunch. Users can also buy Instagram Badges that will be displayed alongside their username when they message creators or comment on their posts.",instagram test monthly subscription exclusive content instagram test new subscription feature give user access exclusive content creator monthly fee instagram subscription feature visible instagram app store listing first report techcrunch user also buy instagram badge display alongside username message creator comment post
Instagram begins testing 'Take a Break' feature,"Instagram has started testing a new feature called 'Take a Break' that allows users to opt-in for in-app break reminders. The feature encourages them to take a break from Instagram after a certain amount of time - 10 minutes, 20 minutes or 30 minutes. Instagram will also offer tips for breaks and advice on how to frame taking a break.",technology,"Instagram begins testing 'Take a Break' feature. Instagram has started testing a new feature called 'Take a Break' that allows users to opt-in for in-app break reminders. The feature encourages them to take a break from Instagram after a certain amount of time - 10 minutes, 20 minutes or 30 minutes. Instagram will also offer tips for breaks and advice on how to frame taking a break.",instagram begin test take break feature instagram start test new feature call take break allow user opt app break reminder feature encourage take break instagram certain amount time minute minute minute instagram also offer tip break advice frame take break
"Mother of 5 dies after her Tesla hits boulder, trees and catches fire in US","A mother of five children died after her Tesla Model Y car went off the side of the road, hit a boulder and two trees before overturning and catching fire in the US. The fire department said the car being electric complicated fire extinguishing efforts. ""The batteries are shorting out on us...they keep generating heat...and keep reigniting,"" the department said.",technology,"Mother of 5 dies after her Tesla hits boulder, trees and catches fire in US. A mother of five children died after her Tesla Model Y car went off the side of the road, hit a boulder and two trees before overturning and catching fire in the US. The fire department said the car being electric complicated fire extinguishing efforts. ""The batteries are shorting out on us...they keep generating heat...and keep reigniting,"" the department said.",mother die tesla hit boulder tree catch fire us mother five child die tesla model car go side road hit boulder two tree overturn catch fire us fire department say car electric complicated fire extinguish effort battery short us keep generate heat keep reignite department say
SpaceX launches Indian-American Raja Chari-led 'Crew 3' for 6-month mission aboard ISS,SpaceX and NASA launched four astronauts into orbit from Kennedy Space Center in Florida at 9:03 pm EST on Wednesday. Indian-American astronaut Raja Chari will serve as the Crew-3 mission's commander which will dock with the International Space Station about 22 hours later. The crew will spend six months conducting experiments and performing maintenance upgrades aboard the orbiting laboratory. ,technology,SpaceX launches Indian-American Raja Chari-led 'Crew 3' for 6-month mission aboard ISS. SpaceX and NASA launched four astronauts into orbit from Kennedy Space Center in Florida at 9:03 pm EST on Wednesday. Indian-American astronaut Raja Chari will serve as the Crew-3 mission's commander which will dock with the International Space Station about 22 hours later. The crew will spend six months conducting experiments and performing maintenance upgrades aboard the orbiting laboratory. ,spacex launch indian american raja chari lead crew month mission aboard iss spacex nasa launch four astronaut orbit kennedy space center florida pm est wednesday indian american astronaut raja chari serve crew mission commander dock international space station hour later crew spend six month conduct experiment perform maintenance upgrade aboard orbit laboratory
"Apple computer hand-built by Steve Jobs, Wozniak in 1976 sells for ₹3 crore","An Apple-1 computer, that was hand-built by company Founders Steve Jobs and Steve Wozniak in 1976, has been sold at a US auction for $400,000 (nearly ₹3 crore). The computer was originally purchased by a Chaffey College professor, who later sold it to his student in 1977 for $650. The Apple-1 computer is reportedly one of only 20 still functioning.",technology,"Apple computer hand-built by Steve Jobs, Wozniak in 1976 sells for ₹3 crore. An Apple-1 computer, that was hand-built by company Founders Steve Jobs and Steve Wozniak in 1976, has been sold at a US auction for $400,000 (nearly ₹3 crore). The computer was originally purchased by a Chaffey College professor, who later sold it to his student in 1977 for $650. The Apple-1 computer is reportedly one of only 20 still functioning.",apple computer hand build steve jobs wozniak sell crore apple computer hand build company founder steve jobs steve wozniak sell us auction nearly crore computer originally purchase chaffey college professor later sell student apple computer reportedly one still function
Elon Musk sells Tesla shares worth $1.1 billion after a Twitter poll,"World's richest person Elon Musk has sold over 930,000 Tesla shares worth over $1.1 billion to cover taxes, according to a regulatory filing. This comes after he asked in a poll if he should sell 10% of his Tesla stock, to which Twitter users voted a 'yes'. This is the billionaire's first sale of Tesla shares since 2016, Bloomberg reported.",technology,"Elon Musk sells Tesla shares worth $1.1 billion after a Twitter poll. World's richest person Elon Musk has sold over 930,000 Tesla shares worth over $1.1 billion to cover taxes, according to a regulatory filing. This comes after he asked in a poll if he should sell 10% of his Tesla stock, to which Twitter users voted a 'yes'. This is the billionaire's first sale of Tesla shares since 2016, Bloomberg reported.",elon musk sell tesla share worth billion twitt poll world rich person elon musk sell tesla share worth billion cover taxis accord regulatory filing come ask poll sell tesla stock twitter user vote yes billionaire first sale tesla share since bloomberg report
Instagram Head's account got locked briefly in Sept as scammers reported him 'dead',"Instagram Head Adam Mosseri was briefly locked out of his account in September after scammers created a fake obituary to convince Instagram that he was 'dead', Vice reported. A company spokesperson confirmed that his account was 'memorialised' and said the issue was resolved quickly. An earlier report claimed that scammers charge $60 to target Instagram accounts and get them removed.",technology,"Instagram Head's account got locked briefly in Sept as scammers reported him 'dead'. Instagram Head Adam Mosseri was briefly locked out of his account in September after scammers created a fake obituary to convince Instagram that he was 'dead', Vice reported. A company spokesperson confirmed that his account was 'memorialised' and said the issue was resolved quickly. An earlier report claimed that scammers charge $60 to target Instagram accounts and get them removed.",instagram head account get lock briefly sept scammer report dead instagram head adam mosseri briefly lock account september scammer create fake obituary convince instagram dead vice report company spokesperson confirm account memorialise say issue resolve quickly early report claim scammer charge target instagram account get remove
"Gates may have been richer than Musk, Bezos if he'd kept his Microsoft shares: Report","Microsoft Co-founder Bill Gates might have been richer than the combined fortunes of Elon Musk and Jeff Bezos if he had held onto his stake in the company. As per Bloomberg estimates, Gates' 1998 holding would be valued at $693 billion on October 29, when Microsoft overtook Apple as most valuable public company. Musk's net worth is above $300 billion.",technology,"Gates may have been richer than Musk, Bezos if he'd kept his Microsoft shares: Report. Microsoft Co-founder Bill Gates might have been richer than the combined fortunes of Elon Musk and Jeff Bezos if he had held onto his stake in the company. As per Bloomberg estimates, Gates' 1998 holding would be valued at $693 billion on October 29, when Microsoft overtook Apple as most valuable public company. Musk's net worth is above $300 billion.",gate may rich musk bezos would keep microsoft share report microsoft co founder bill gates may rich combined fortune elon musk jeff bezos hold onto stake company per bloomberg estimate gate holding would value billion october microsoft overtake apple valuable public company musk net worth billion
Elon Musk loses record $50 billion in 2 days,"World's richest person Elon Musk has lost $50 billion from his net worth in two days as Tesla's shares continued to plunge. This is the biggest two-day decline in the history of Bloomberg Billionaires Index, Bloomberg said. Tesla shares plunged as Twitter users voted 'yes' after Musk asked in a poll if he should sell 10% of his stock.",technology,"Elon Musk loses record $50 billion in 2 days. World's richest person Elon Musk has lost $50 billion from his net worth in two days as Tesla's shares continued to plunge. This is the biggest two-day decline in the history of Bloomberg Billionaires Index, Bloomberg said. Tesla shares plunged as Twitter users voted 'yes' after Musk asked in a poll if he should sell 10% of his stock.",elon musk lose record billion day world rich person elon musk lose billion net worth two day tesla share continue plunge big two day decline history bloomberg billionaires index bloomberg say tesla share plunge twitter user vote yes musk ask poll sell stock
$199 billion wiped off Tesla's market cap in 2 days as shares fall,Billionaire Elon Musk-led Tesla has lost $199 billion in market value in its worst two-day share selloff in 14 months. The shares fell 12% on Tuesday after closing 4.8% lower on Monday. This comes after Twitter users voted 'yes' to CEO Musk's proposal to sell 10% of his Tesla stock. World's richest person Musk's wealth also fell by $50 billion.,technology,$199 billion wiped off Tesla's market cap in 2 days as shares fall. Billionaire Elon Musk-led Tesla has lost $199 billion in market value in its worst two-day share selloff in 14 months. The shares fell 12% on Tuesday after closing 4.8% lower on Monday. This comes after Twitter users voted 'yes' to CEO Musk's proposal to sell 10% of his Tesla stock. World's richest person Musk's wealth also fell by $50 billion.,billion wipe tesla market cap day share fall billionaire elon musk lead tesla lose billion market value bad two day share selloff month share fall tuesday close low monday come twitter user vote yes ceo musk proposal sell tesla stock world rich person musk wealth also fall billion
